Subscription.Type,Monthly.Revenue,Days.Joined,Last.Payment.Date,Country,Age,Gender,Device,Plan.Duration
Premium,12,550,26-06-23,France,32,Female,Smartphone,1 Month
Basic,12,894,27-06-23,Brazil,37,Female,Tablet,1 Month
Standard,13,1540,27-06-23,Mexico,37,Female,Tablet,1 Month
Standard,14,393,25-06-23,Spain,37,Male,Smartphone,1 Month
Basic,15,1876,25-06-23,Italy,37,Male,Smart TV,1 Month
Premium,14,1948,26-06-23,United States,48,Female,Tablet,1 Month
Basic,12,1199,26-06-23,Canada,47,Male,Laptop,1 Month
Standard,13,1753,26-06-23,United Kingdom,41,Female,Smartphone,1 Month
Premium,14,579,27-06-23,Australia,47,Female,Laptop,1 Month
Basic,13,1468,25-06-23,Germany,39,Female,Smartphone,1 Month
Premium,10,243,26-06-23,France,28,Male,Tablet,1 Month
Basic,14,1665,29-06-23,Brazil,31,Male,Smart TV,1 Month
Standard,14,1831,27-06-23,Mexico,47,Female,Smart TV,1 Month
Standard,11,936,27-06-23,Spain,27,Female,Laptop,1 Month
Basic,10,1825,28-06-23,Italy,28,Male,Laptop,1 Month
Premium,14,2076,28-06-23,United States,33,Male,Tablet,1 Month
Basic,14,1421,29-06-23,Canada,29,Female,Tablet,1 Month
Standard,15,621,27-06-23,United Kingdom,41,Male,Smartphone,1 Month
Premium,12,1825,29-06-23,Australia,28,Female,Tablet,1 Month
Basic,13,2157,27-06-23,Germany,38,Male,Tablet,1 Month
Premium,15,1687,30-06-23,France,35,Male,Laptop,1 Month
Basic,11,1347,26-06-23,Brazil,51,Male,Smart TV,1 Month
Standard,12,938,28-06-23,Mexico,45,Male,Smartphone,1 Month
Standard,14,786,26-06-23,Spain,51,Male,Laptop,1 Month
Basic,14,369,30-06-23,Italy,46,Female,Smart TV,1 Month
Premium,15,1193,28-06-23,United States,28,Male,Smart TV,1 Month
Basic,12,477,30-06-23,Canada,46,Female,Smart TV,1 Month
Standard,11,1882,25-06-23,United Kingdom,46,Female,Smartphone,1 Month
Premium,12,1962,29-06-23,Australia,32,Female,Laptop,1 Month
Basic,11,1134,28-06-23,Germany,39,Female,Smart TV,1 Month
Premium,11,781,29-06-23,France,41,Female,Smartphone,1 Month
Basic,13,1286,25-06-23,Brazil,47,Male,Smart TV,1 Month
Standard,12,599,28-06-23,Mexico,35,Male,Smart TV,1 Month
Standard,12,1782,27-06-23,Spain,37,Female,Smart TV,1 Month
Basic,11,1147,29-06-23,Italy,47,Male,Tablet,1 Month
Premium,13,80,28-06-23,United States,48,Female,Laptop,1 Month
Basic,12,697,27-06-23,Canada,30,Female,Laptop,1 Month
Standard,10,447,27-06-23,United Kingdom,36,Male,Smart TV,1 Month
Premium,10,881,28-06-23,Australia,50,Female,Smartphone,1 Month
Basic,12,1979,28-06-23,Germany,41,Male,Tablet,1 Month
Basic,14,608,28-06-23,France,46,Female,Smartphone,1 Month
Basic,15,1197,28-06-23,Brazil,36,Female,Laptop,1 Month
Standard,14,138,27-06-23,Mexico,48,Male,Tablet,1 Month
Premium,10,2074,28-06-23,Spain,37,Female,Laptop,1 Month
Basic,14,1207,27-06-23,Italy,49,Male,Laptop,1 Month
Basic,12,1830,28-06-23,United States,31,Female,Laptop,1 Month
Premium,12,947,26-06-23,Canada,42,Female,Laptop,1 Month
Standard,11,1342,28-06-23,United Kingdom,45,Female,Tablet,1 Month
Standard,15,1702,28-06-23,Australia,51,Female,Tablet,1 Month
Basic,11,567,27-06-23,Germany,31,Female,Smart TV,1 Month
Premium,14,918,27-06-23,France,41,Male,Tablet,1 Month
Standard,14,949,28-06-23,Brazil,40,Male,Smart TV,1 Month
Basic,10,1739,28-06-23,Mexico,27,Male,Tablet,1 Month
Standard,10,1846,27-06-23,Spain,46,Female,Tablet,1 Month
Premium,10,1070,28-06-23,Italy,30,Female,Smart TV,1 Month
Basic,11,451,27-06-23,United States,37,Male,Smart TV,1 Month
Premium,15,510,28-06-23,Canada,45,Male,Smartphone,1 Month
Standard,11,2066,26-06-23,United Kingdom,40,Male,Smart TV,1 Month
Basic,13,330,28-06-23,Australia,45,Male,Laptop,1 Month
Standard,11,923,26-06-23,Germany,34,Male,Laptop,1 Month
Premium,10,878,27-06-23,France,33,Male,Laptop,1 Month
Basic,10,1889,26-06-23,Brazil,47,Female,Laptop,1 Month
Standard,11,1229,27-06-23,Mexico,32,Male,Smart TV,1 Month
Premium,12,952,29-06-23,Spain,41,Female,Tablet,1 Month
Basic,15,995,28-06-23,Italy,31,Female,Tablet,1 Month
Premium,15,1270,27-06-23,United States,43,Male,Tablet,1 Month
Basic,10,460,27-06-23,Canada,32,Female,Tablet,1 Month
Standard,10,1898,28-06-23,United Kingdom,46,Female,Smartphone,1 Month
Standard,14,1783,28-06-23,Australia,38,Male,Smartphone,1 Month
Basic,11,1615,26-06-23,Germany,31,Female,Smart TV,1 Month
Premium,14,1644,26-06-23,France,31,Female,Laptop,1 Month
Basic,10,1516,27-06-23,Brazil,50,Male,Laptop,1 Month
Standard,10,1250,27-06-23,Mexico,32,Male,Laptop,1 Month
Premium,13,2004,27-06-23,Spain,38,Female,Smartphone,1 Month
Basic,15,892,27-06-23,Italy,37,Female,Laptop,1 Month
Premium,12,1506,26-06-23,United States,36,Male,Smart TV,1 Month
Basic,11,2106,27-06-23,Canada,30,Male,Smart TV,1 Month
Standard,14,1076,27-06-23,United Kingdom,28,Male,Smart TV,1 Month
Standard,13,1072,28-06-23,Australia,40,Male,Smartphone,1 Month
Basic,14,1395,28-06-23,Germany,28,Female,Tablet,1 Month
Premium,15,597,26-06-23,France,37,Female,Laptop,1 Month
Basic,15,569,29-06-23,Brazil,30,Male,Smart TV,1 Month
Standard,11,1637,28-06-23,Mexico,33,Female,Smart TV,1 Month
Premium,11,1707,28-06-23,Spain,49,Male,Tablet,1 Month
Basic,12,114,29-06-23,Italy,36,Female,Smart TV,1 Month
Premium,12,206,28-06-23,United States,28,Female,Smartphone,1 Month
Basic,10,1561,30-06-23,Canada,51,Male,Tablet,1 Month
Standard,11,65,27-06-23,United Kingdom,35,Female,Smartphone,1 Month
Standard,14,119,29-06-23,Australia,31,Male,Smart TV,1 Month
Basic,13,1968,27-06-23,Germany,39,Male,Smartphone,1 Month
Premium,10,922,30-06-23,France,51,Female,Laptop,1 Month
Basic,11,1530,29-06-23,Brazil,44,Male,Smartphone,1 Month
Standard,11,1212,28-06-23,Mexico,41,Female,Smartphone,1 Month
Premium,10,2075,26-06-23,Spain,28,Female,Laptop,1 Month
Basic,15,1679,30-06-23,Italy,38,Male,Laptop,1 Month
Premium,14,1098,28-06-23,Spain,43,Male,Smartphone,1 Month
Basic,13,871,30-06-23,Spain,38,Male,Smartphone,1 Month
Standard,14,673,26-06-23,United States,30,Male,Tablet,1 Month
Standard,12,1320,29-06-23,Canada,32,Female,Laptop,1 Month
Basic,11,1128,28-06-23,United States,35,Male,Smartphone,1 Month
Premium,14,1635,29-06-23,United States,27,Male,Smart TV,1 Month
Basic,15,213,26-06-23,Canada,49,Female,Tablet,1 Month
Standard,12,239,28-06-23,United Kingdom,42,Female,Tablet,1 Month
Premium,10,928,28-06-23,Australia,40,Male,Smartphone,1 Month
Basic,15,1561,29-06-23,Germany,43,Female,Tablet,1 Month
Premium,11,90,28-06-23,France,44,Female,Smart TV,1 Month
Basic,15,479,28-06-23,Brazil,32,Male,Tablet,1 Month
Standard,10,1009,28-06-23,Mexico,50,Male,Tablet,1 Month
Standard,14,335,28-06-23,Spain,35,Male,Tablet,1 Month
Basic,15,2092,29-06-23,Italy,44,Female,Laptop,1 Month
Premium,14,583,28-06-23,Spain,42,Female,Smart TV,1 Month
Basic,12,400,28-06-23,Spain,34,Female,Smart TV,1 Month
Standard,15,1520,27-06-23,United States,37,Female,Tablet,1 Month
Premium,10,1521,28-06-23,Canada,43,Male,Smartphone,1 Month
Basic,13,540,28-06-23,United States,32,Male,Smart TV,1 Month
Basic,15,1347,28-06-23,United States,33,Female,Smart TV,1 Month
Basic,14,1374,27-06-23,Canada,32,Female,Tablet,1 Month
Standard,13,2005,29-06-23,United Kingdom,41,Male,Smartphone,1 Month
Premium,15,551,28-06-23,Australia,31,Male,Tablet,1 Month
Basic,14,555,27-06-23,Germany,44,Male,Tablet,1 Month
Basic,11,505,28-06-23,France,49,Male,Laptop,1 Month
Premium,10,1800,28-06-23,Brazil,48,Female,Tablet,1 Month
Standard,13,487,29-06-23,Mexico,42,Female,Smartphone,1 Month
Standard,11,1628,27-06-23,Spain,50,Female,Laptop,1 Month
Basic,14,1270,28-06-23,Italy,49,Female,Smart TV,1 Month
Premium,14,1283,27-06-23,Spain,30,Female,Laptop,1 Month
Standard,11,1209,28-06-23,Spain,38,Male,Laptop,1 Month
Basic,14,1535,27-06-23,United States,38,Male,Smartphone,1 Month
Standard,11,1867,28-06-23,Canada,39,Female,Smart TV,1 Month
Premium,15,379,29-06-23,United States,42,Female,Laptop,1 Month
Basic,10,1004,29-06-23,United States,28,Male,Smart TV,1 Month
Premium,10,304,27-06-23,Canada,38,Male,Smartphone,1 Month
Standard,14,2079,28-06-23,United Kingdom,40,Female,Tablet,1 Month
Basic,12,832,29-06-23,Australia,30,Female,Tablet,1 Month
Standard,10,2086,29-06-23,Germany,40,Male,Smartphone,1 Month
Premium,10,1058,27-06-23,France,31,Male,Smart TV,1 Month
Basic,14,888,27-06-23,Brazil,41,Male,Smartphone,1 Month
Standard,11,599,28-06-23,Mexico,37,Male,Smartphone,1 Month
Premium,14,2065,28-06-23,Spain,49,Male,Tablet,1 Month
Basic,14,2141,27-06-23,Italy,29,Male,Smart TV,1 Month
Premium,10,1976,26-06-23,Spain,31,Male,Smart TV,1 Month
Basic,10,287,27-06-23,Spain,39,Male,Tablet,1 Month
Standard,12,1656,27-06-23,United States,51,Female,Smartphone,1 Month
Standard,10,335,27-06-23,Canada,38,Female,Smartphone,1 Month
Basic,11,2086,27-06-23,United States,29,Female,Tablet,1 Month
Premium,13,1633,28-06-23,United States,41,Female,Laptop,1 Month
Basic,13,1775,27-06-23,Canada,48,Female,Tablet,1 Month
Standard,14,172,28-06-23,United Kingdom,39,Male,Smart TV,1 Month
Premium,12,1866,29-06-23,Australia,37,Male,Smartphone,1 Month
Basic,11,1280,28-06-23,Germany,37,Female,Smartphone,1 Month
Premium,14,976,27-06-23,France,34,Male,Smartphone,1 Month
Basic,15,375,29-06-23,Brazil,37,Male,Smartphone,1 Month
Standard,14,1622,30-06-23,Mexico,37,Female,Smart TV,1 Month
Standard,13,688,28-06-23,Spain,51,Female,Tablet,1 Month
Basic,15,1713,29-06-23,Italy,45,Male,Laptop,1 Month
Premium,14,1717,28-06-23,Spain,29,Female,Laptop,1 Month
Basic,14,475,30-06-23,Spain,37,Male,Laptop,1 Month
Standard,10,1700,29-06-23,United States,34,Male,Tablet,1 Month
Premium,14,147,29-06-23,Canada,35,Male,Smartphone,1 Month
Basic,12,75,27-06-23,United States,29,Male,Laptop,1 Month
Premium,11,1880,1/7/2023,United States,45,Male,Tablet,1 Month
Basic,14,1230,29-06-23,Canada,36,Male,Smart TV,1 Month
Standard,11,1362,28-06-23,United Kingdom,27,Female,Laptop,1 Month
Standard,10,498,26-06-23,Australia,31,Female,Laptop,1 Month
Basic,10,1653,30-06-23,Germany,41,Female,Laptop,1 Month
Premium,13,1023,29-06-23,France,37,Male,Smart TV,1 Month
Basic,12,1980,30-06-23,Brazil,49,Female,Tablet,1 Month
Standard,12,1462,27-06-23,Mexico,37,Female,Smart TV,1 Month
Premium,14,350,29-06-23,Spain,36,Female,Smartphone,1 Month
Basic,13,1092,28-06-23,Italy,38,Female,Smart TV,1 Month
Premium,15,818,30-06-23,Spain,49,Female,Tablet,1 Month
Basic,15,1857,26-06-23,Spain,31,Male,Laptop,1 Month
Standard,13,290,28-06-23,United States,29,Female,Laptop,1 Month
Standard,12,853,28-06-23,Canada,35,Female,Tablet,1 Month
Basic,14,1585,29-06-23,United States,46,Female,Tablet,1 Month
Premium,10,127,29-06-23,United States,29,Female,Laptop,1 Month
Basic,12,258,28-06-23,Canada,43,Female,Laptop,1 Month
Standard,15,619,28-06-23,United Kingdom,38,Female,Tablet,1 Month
Premium,14,1295,28-06-23,Australia,48,Female,Smart TV,1 Month
Basic,14,77,29-06-23,Germany,41,Male,Laptop,1 Month
Premium,15,1530,29-06-23,France,51,Female,Laptop,1 Month
Basic,14,546,28-06-23,Brazil,39,Male,Smart TV,1 Month
Standard,11,281,27-06-23,Mexico,31,Male,Smartphone,1 Month
Standard,15,1252,29-06-23,Spain,28,Male,Laptop,1 Month
Basic,15,957,29-06-23,Italy,47,Male,Laptop,1 Month
Premium,14,1991,28-06-23,Spain,35,Female,Smart TV,1 Month
Basic,15,650,29-06-23,Spain,33,Male,Smartphone,1 Month
Standard,11,1714,29-06-23,United States,41,Male,Smartphone,1 Month
Premium,12,1720,30-06-23,Canada,38,Female,Smart TV,1 Month
Basic,10,398,28-06-23,United States,49,Male,Laptop,1 Month
Basic,14,262,28-06-23,United States,29,Female,Smart TV,1 Month
Basic,13,153,28-06-23,Canada,50,Male,Laptop,1 Month
Standard,12,2175,29-06-23,United Kingdom,29,Female,Tablet,1 Month
Premium,15,1201,27-06-23,Australia,44,Male,Smart TV,1 Month
Basic,14,1232,29-06-23,Germany,36,Female,Smart TV,1 Month
Basic,14,963,30-06-23,France,46,Female,Smart TV,1 Month
Premium,14,1825,29-06-23,Brazil,30,Male,Smartphone,1 Month
Standard,15,218,27-06-23,Mexico,46,Female,Tablet,1 Month
Standard,15,1193,28-06-23,Spain,33,Male,Smartphone,1 Month
Basic,15,66,29-06-23,Italy,46,Female,Tablet,1 Month
Premium,14,1635,29-06-23,Spain,50,Male,Tablet,1 Month
Standard,14,832,27-06-23,Spain,27,Female,Smart TV,1 Month
Basic,12,2125,28-06-23,United States,48,Female,Smart TV,1 Month
Standard,14,1089,29-06-23,Canada,50,Female,Smartphone,1 Month
Premium,13,160,29-06-23,United States,28,Female,Tablet,1 Month
Basic,15,305,28-06-23,United States,29,Female,Smartphone,1 Month
Premium,11,85,27-06-23,Canada,36,Male,Smart TV,1 Month
Standard,12,716,28-06-23,United Kingdom,51,Male,Laptop,1 Month
Basic,15,1513,28-06-23,Australia,51,Male,Smartphone,1 Month
Standard,13,1973,27-06-23,Germany,43,Male,Smart TV,1 Month
Premium,14,338,27-06-23,France,38,Female,Laptop,1 Month
Basic,11,1336,28-06-23,Brazil,45,Female,Smartphone,1 Month
Standard,10,528,28-06-23,Mexico,28,Female,Smart TV,1 Month
Premium,11,1893,29-06-23,Spain,27,Male,Smartphone,1 Month
Basic,11,838,27-06-23,Italy,41,Female,Smartphone,1 Month
Premium,14,2087,29-06-23,Spain,49,Male,Smart TV,1 Month
Basic,12,1375,28-06-23,Spain,35,Male,Smartphone,1 Month
Standard,13,1497,28-06-23,United States,29,Female,Smart TV,1 Month
Standard,10,218,30-06-23,Canada,42,Male,Smartphone,1 Month
Basic,15,731,28-06-23,United States,33,Male,Tablet,1 Month
Premium,10,1842,30-06-23,United States,30,Male,Laptop,1 Month
Basic,11,1205,29-06-23,Canada,43,Female,Smart TV,1 Month
Standard,10,1312,1/7/2023,United Kingdom,42,Male,Smartphone,1 Month
Premium,11,1488,29-06-23,Australia,39,Male,Tablet,1 Month
Basic,15,1758,30-06-23,Germany,32,Female,Smart TV,1 Month
Premium,14,1488,28-06-23,France,31,Male,Smartphone,1 Month
Basic,13,327,1/7/2023,Brazil,39,Male,Smartphone,1 Month
Standard,12,1061,29-06-23,Mexico,41,Female,Smartphone,1 Month
Standard,12,554,29-06-23,Spain,51,Female,Smart TV,1 Month
Basic,13,743,27-06-23,Italy,29,Male,Laptop,1 Month
Premium,10,951,1/7/2023,Spain,33,Female,Smart TV,1 Month
Basic,12,352,29-06-23,Spain,51,Female,Tablet,1 Month
Standard,11,138,1/7/2023,United States,38,Male,Tablet,1 Month
Premium,10,2087,28-06-23,Canada,37,Female,Laptop,1 Month
Basic,13,883,30-06-23,United States,50,Female,Laptop,1 Month
Premium,12,1001,29-06-23,United States,33,Male,Tablet,1 Month
Basic,11,148,1/7/2023,Canada,27,Male,Laptop,1 Month
Standard,11,857,27-06-23,United Kingdom,50,Female,Smartphone,1 Month
Standard,15,2120,29-06-23,Australia,47,Female,Laptop,1 Month
Basic,13,1527,29-06-23,Germany,41,Male,Laptop,1 Month
Premium,10,2053,30-06-23,France,49,Female,Laptop,1 Month
Basic,15,721,28-06-23,Brazil,32,Male,Smart TV,1 Month
Standard,10,96,28-06-23,Mexico,38,Female,Smartphone,1 Month
Premium,14,1019,29-06-23,Spain,38,Female,Smartphone,1 Month
Basic,15,170,29-06-23,Italy,28,Female,Smart TV,1 Month
Premium,13,1923,29-06-23,Spain,31,Male,Tablet,1 Month
Basic,14,1978,29-06-23,Spain,39,Female,Smartphone,1 Month
Standard,11,2180,29-06-23,United States,28,Female,Smartphone,1 Month
Standard,12,1923,28-06-23,Canada,30,Female,Smartphone,1 Month
Basic,11,872,29-06-23,United States,42,Male,Tablet,1 Month
Premium,14,296,29-06-23,United States,33,Female,Laptop,1 Month
Basic,14,245,29-06-23,Canada,34,Female,Smart TV,1 Month
Standard,13,1568,29-06-23,United Kingdom,49,Female,Smart TV,1 Month
Premium,13,1104,29-06-23,Australia,41,Male,Laptop,1 Month
Basic,12,1491,29-06-23,Germany,28,Male,Smart TV,1 Month
Premium,14,2041,28-06-23,France,49,Female,Laptop,1 Month
Basic,15,1922,29-06-23,Brazil,49,Male,Tablet,1 Month
Standard,11,1531,29-06-23,Mexico,36,Male,Tablet,1 Month
Standard,11,707,30-06-23,Spain,31,Male,Smart TV,1 Month
Basic,10,1433,28-06-23,Italy,38,Male,Smartphone,1 Month
Premium,15,599,29-06-23,Spain,34,Female,Tablet,1 Month
Basic,11,1929,30-06-23,Spain,51,Female,Smartphone,1 Month
Standard,13,1568,30-06-23,United States,49,Male,Smart TV,1 Month
Premium,13,414,28-06-23,Canada,27,Female,Tablet,1 Month
Basic,10,776,29-06-23,United States,38,Male,Smart TV,1 Month
Basic,10,1449,30-06-23,United States,51,Male,Tablet,1 Month
Basic,14,1314,30-06-23,Canada,47,Female,Tablet,1 Month
Standard,15,529,27-06-23,United Kingdom,37,Male,Smartphone,1 Month
Premium,13,2117,28-06-23,Australia,37,Female,Laptop,1 Month
Basic,11,308,29-06-23,Germany,39,Female,Tablet,1 Month
Basic,11,1974,29-06-23,France,31,Male,Smartphone,1 Month
Premium,13,1490,28-06-23,Brazil,36,Male,Smart TV,1 Month
Standard,15,1007,28-06-23,Mexico,42,Female,Smart TV,1 Month
Standard,11,1873,29-06-23,Spain,49,Male,Laptop,1 Month
Basic,15,1736,29-06-23,Italy,44,Female,Laptop,1 Month
Premium,11,71,28-06-23,Spain,33,Male,Laptop,1 Month
Standard,11,1196,27-06-23,Spain,42,Male,Tablet,1 Month
Basic,13,1965,29-06-23,United States,39,Male,Smartphone,1 Month
Standard,10,1761,29-06-23,Canada,49,Male,Smartphone,1 Month
Premium,12,574,30-06-23,United States,31,Male,Smartphone,1 Month
Basic,14,626,28-06-23,United States,37,Male,Tablet,1 Month
Premium,13,445,29-06-23,Canada,30,Female,Tablet,1 Month
Standard,10,915,28-06-23,United Kingdom,42,Male,Smartphone,1 Month
Basic,15,468,29-06-23,Australia,37,Female,Smart TV,1 Month
Standard,15,2116,30-06-23,Germany,36,Male,Laptop,1 Month
Premium,11,2016,29-06-23,France,28,Female,Laptop,1 Month
Basic,15,1411,30-06-23,Brazil,36,Male,Tablet,1 Month
Standard,14,1473,29-06-23,Mexico,31,Female,Tablet,1 Month
Premium,14,751,1/7/2023,Spain,46,Male,Smart TV,1 Month
Basic,13,862,28-06-23,Italy,28,Male,Laptop,1 Month
Premium,15,855,1/7/2023,Spain,31,Male,Tablet,1 Month
Basic,12,1776,29-06-23,Spain,43,Male,Smart TV,1 Month
Standard,10,2184,2/7/2023,United States,28,Male,Laptop,1 Month
Standard,13,1648,30-06-23,Canada,32,Female,Smartphone,1 Month
Basic,12,1554,30-06-23,United States,31,Female,Laptop,1 Month
Premium,11,1861,28-06-23,United States,45,Male,Smart TV,1 Month
Basic,14,1342,1/7/2023,Canada,36,Male,Smartphone,1 Month
Standard,14,1612,30-06-23,United Kingdom,35,Male,Laptop,1 Month
Premium,13,1790,1/7/2023,Australia,27,Female,Tablet,1 Month
Basic,13,1016,28-06-23,Germany,32,Male,Laptop,1 Month
Premium,12,684,1/7/2023,France,46,Female,Smartphone,1 Month
Basic,12,903,30-06-23,Brazil,36,Male,Smart TV,1 Month
Standard,13,502,1/7/2023,Mexico,39,Male,Laptop,1 Month
Standard,12,301,28-06-23,Spain,48,Female,Smart TV,1 Month
Basic,10,1189,30-06-23,Italy,48,Female,Smart TV,1 Month
Premium,14,660,29-06-23,Spain,27,Female,Laptop,1 Month
Basic,13,1229,1/7/2023,Spain,45,Male,Tablet,1 Month
Standard,10,1340,27-06-23,United States,30,Male,Laptop,1 Month
Premium,15,1325,29-06-23,Canada,29,Male,Tablet,1 Month
Basic,12,1566,29-06-23,United States,43,Female,Laptop,1 Month
Premium,10,1243,30-06-23,United States,43,Male,Laptop,1 Month
Basic,15,761,29-06-23,Canada,39,Female,Tablet,1 Month
Standard,14,1245,30-06-23,United Kingdom,27,Male,Tablet,1 Month
Standard,10,825,29-06-23,Australia,33,Female,Tablet,1 Month
Basic,10,478,29-06-23,Germany,32,Female,Tablet,1 Month
Premium,10,672,29-06-23,France,37,Female,Tablet,1 Month
Basic,13,136,30-06-23,Brazil,45,Male,Smartphone,1 Month
Standard,10,1289,30-06-23,Mexico,40,Female,Smartphone,1 Month
Premium,14,1138,29-06-23,Spain,44,Male,Laptop,1 Month
Basic,12,1470,29-06-23,Italy,29,Female,Tablet,1 Month
Premium,14,987,30-06-23,Spain,50,Male,Laptop,1 Month
Basic,11,1757,29-06-23,Spain,32,Female,Laptop,1 Month
Standard,14,2102,29-06-23,United States,39,Male,Laptop,1 Month
Standard,15,1141,30-06-23,Canada,43,Female,Smartphone,1 Month
Basic,12,1262,30-06-23,United States,49,Female,Smartphone,1 Month
Premium,13,1662,29-06-23,United States,30,Male,Tablet,1 Month
Basic,12,1141,29-06-23,Canada,47,Male,Tablet,1 Month
Standard,10,1073,29-06-23,United Kingdom,51,Female,Laptop,1 Month
Premium,14,911,30-06-23,Australia,40,Male,Tablet,1 Month
Basic,14,1406,28-06-23,Germany,40,Male,Laptop,1 Month
Premium,11,432,30-06-23,France,49,Male,Smartphone,1 Month
Basic,15,609,30-06-23,Brazil,43,Female,Tablet,1 Month
Standard,14,1691,1/7/2023,Mexico,44,Female,Smartphone,1 Month
Standard,13,1270,28-06-23,Spain,27,Male,Smartphone,1 Month
Basic,14,1423,29-06-23,Italy,30,Male,Tablet,1 Month
Premium,14,992,30-06-23,Spain,47,Male,Smart TV,1 Month
Basic,13,989,30-06-23,Spain,51,Male,Smartphone,1 Month
Standard,15,1196,28-06-23,United States,31,Female,Laptop,1 Month
Premium,13,449,29-06-23,Canada,34,Female,Tablet,1 Month
Basic,11,1374,30-06-23,United States,28,Female,Laptop,1 Month
Basic,15,1859,30-06-23,United States,32,Male,Smartphone,1 Month
Basic,11,1274,29-06-23,Canada,41,Male,Smart TV,1 Month
Standard,13,1219,28-06-23,United Kingdom,40,Male,Smart TV,1 Month
Premium,12,1256,30-06-23,Australia,46,Male,Smart TV,1 Month
Basic,13,598,29-06-23,Germany,47,Male,Smart TV,1 Month
Basic,14,367,29-06-23,France,45,Female,Laptop,1 Month
Premium,10,330,28-06-23,Brazil,28,Female,Smartphone,1 Month
Standard,12,1773,30-06-23,Mexico,43,Female,Smartphone,1 Month
Standard,11,329,29-06-23,Spain,41,Male,Laptop,1 Month
Basic,13,974,30-06-23,Italy,32,Male,Tablet,1 Month
Premium,14,1774,29-06-23,Spain,44,Female,Smartphone,1 Month
Standard,11,1476,30-06-23,Spain,32,Male,Laptop,1 Month
Basic,12,155,29-06-23,United States,47,Male,Laptop,1 Month
Standard,14,1418,29-06-23,Canada,37,Male,Smart TV,1 Month
Premium,13,1980,1/7/2023,United States,40,Female,Smartphone,1 Month
Basic,11,1605,29-06-23,United States,48,Female,Smart TV,1 Month
Premium,10,205,2/7/2023,Canada,48,Male,Laptop,1 Month
Standard,10,366,29-06-23,United Kingdom,35,Male,Laptop,1 Month
Basic,15,1851,3/7/2023,Australia,28,Male,Smart TV,1 Month
Standard,11,274,29-06-23,Germany,35,Female,Smart TV,1 Month
Premium,13,2082,1/7/2023,France,43,Male,Smartphone,1 Month
Basic,15,479,29-06-23,Brazil,39,Male,Laptop,1 Month
Standard,10,2105,2/7/2023,Mexico,38,Female,Laptop,1 Month
Premium,14,1916,30-06-23,Spain,36,Female,Smart TV,1 Month
Basic,11,427,1/7/2023,Italy,42,Female,Laptop,1 Month
Premium,14,422,28-06-23,Spain,27,Male,Tablet,1 Month
Basic,12,2158,1/7/2023,Spain,48,Male,Laptop,1 Month
Standard,13,2107,30-06-23,United States,27,Female,Smart TV,1 Month
Standard,15,1777,2/7/2023,Canada,49,Male,Smartphone,1 Month
Basic,11,1163,28-06-23,United States,29,Male,Tablet,1 Month
Premium,11,195,1/7/2023,United States,44,Male,Laptop,1 Month
Basic,11,1560,30-06-23,Canada,31,Male,Smartphone,1 Month
Standard,13,806,1/7/2023,United Kingdom,33,Male,Tablet,1 Month
Premium,10,1312,28-06-23,Australia,36,Female,Smart TV,1 Month
Basic,15,877,30-06-23,Germany,43,Female,Laptop,1 Month
Premium,14,1469,29-06-23,France,30,Female,Smartphone,1 Month
Basic,13,1472,1/7/2023,Brazil,44,Female,Laptop,1 Month
Standard,13,460,29-06-23,Mexico,37,Female,Laptop,1 Month
Standard,14,2128,30-06-23,Spain,27,Male,Laptop,1 Month
Basic,12,544,29-06-23,Italy,35,Female,Laptop,1 Month
Premium,13,577,30-06-23,Spain,32,Male,Smart TV,1 Month
Basic,12,1811,29-06-23,Spain,49,Female,Laptop,1 Month
Standard,12,1829,30-06-23,United States,45,Female,Tablet,1 Month
Premium,11,1306,30-06-23,Canada,33,Female,Smartphone,1 Month
Basic,14,1949,30-06-23,United States,37,Female,Smartphone,1 Month
Premium,15,473,30-06-23,United States,29,Male,Smartphone,1 Month
Basic,12,603,30-06-23,Canada,45,Male,Smart TV,1 Month
Standard,11,2021,30-06-23,United Kingdom,42,Female,Smartphone,1 Month
Standard,12,1450,30-06-23,Australia,32,Female,Smart TV,1 Month
Basic,11,304,1/7/2023,Germany,47,Male,Smartphone,1 Month
Premium,12,1364,1/7/2023,France,27,Male,Smart TV,1 Month
Basic,10,627,30-06-23,Brazil,35,Male,Tablet,1 Month
Standard,15,959,30-06-23,Mexico,35,Male,Laptop,1 Month
Premium,10,1571,30-06-23,Spain,48,Male,Tablet,1 Month
Basic,12,332,30-06-23,Italy,36,Male,Smartphone,1 Month
Premium,10,1695,29-06-23,Spain,46,Male,Smartphone,1 Month
Basic,13,931,30-06-23,Spain,33,Female,Smartphone,1 Month
Standard,14,995,1/7/2023,United States,43,Male,Smart TV,1 Month
Standard,14,569,2/7/2023,Canada,47,Female,Smartphone,1 Month
Basic,15,1378,28-06-23,United States,39,Female,Laptop,1 Month
Premium,15,1123,30-06-23,United States,30,Female,Laptop,1 Month
Basic,11,1721,30-06-23,Canada,46,Male,Tablet,1 Month
Standard,13,892,1/7/2023,United Kingdom,39,Male,Smart TV,1 Month
Premium,10,1560,28-06-23,Australia,28,Male,Smartphone,1 Month
Basic,13,631,29-06-23,Germany,38,Male,Smartphone,1 Month
Premium,13,1555,30-06-23,France,36,Male,Laptop,1 Month
Basic,15,1272,1/7/2023,Brazil,33,Male,Laptop,1 Month
